Nome,Finalidade,Tipo de Imóvel,Estado,Preço de venda,Distrito,Concelho,Freguesia,Referência
Lote,Venda,Lote,N/D,60.000 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),314200060
Lote,Venda,Lote,N/D,45.000 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),314200059
Lote,Venda,Lote,N/D,42.500 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),314200058
Lote,Venda,Lote,N/D,37.500 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),314200057
Lote,Venda,Lote,N/D,40.000 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),314200056
Terreno,Venda,Terreno,N/D,25.000 €,Braga,Braga,Guisande e Oliveira (São Pedro),314200054
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,340.000 €,Braga,Braga,Nogueiró e Tenões,285200039
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,310.000 €,Braga,Braga,Nogueiró e Tenões,285200038
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,310.000 €,Braga,Braga,Nogueiró e Tenões,285200037
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,310.000 €,Braga,Braga,Nogueiró e Tenões,285200036
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,310.000 €,Braga,Braga,Nogueiró e Tenões,285200035
Prédio 7 quartos,Venda,Prédio,Usado,410.000 €,Braga,Braga,Ferreiros e Gondizalves,314200051
Escritório,Venda,Escritório,Usado,99.000 €,Braga,Braga,Ferreiros e Gondizalves,314200049
Loja,Venda,Loja,Usado,42.000 €,Braga,Braga,Ferreiros e Gondizalves,314200048
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,265.000 €,Braga,Braga,Este (São Pedro e São Mamede),285200034
Apartamento 3 quartos,Venda,Apartamento,Usado,119.900 €,Braga,Braga,Ferreiros e Gondizalves,314200047
Moradia Geminada 4 quartos,Venda,Moradia Geminada,Construção,295.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200046
Lote,Venda,Lote,N/D,37.000 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),314200042
Apartamento 3 quartos,Venda,Apartamento,Usado,99.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260200047
Prédio,Venda,Prédio,Usado,299.000 €,Braga,Braga,Braga (São Vicente),260200046
Apartamento 3 quartos,Venda,Apartamento,Usado,79.000 €,Braga,Braga,"Real, Dume e Semelhe",260200045
Lote,Venda,Lote,N/D,55.000 €,Braga,Braga,Vilaça e Fradelos,314200040
Terreno,Venda,Terreno,N/D,75.000 €,Braga,Braga,Priscos,314200039
Loja,Venda,Loja,Usado,150.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",314200037
Lote,Venda,Lote,N/D,47.000 €,Braga,Braga,Tadim,314200035
Terreno Rústico,Venda,Terreno Rústico,N/D,57.500 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),314200034
Terreno Para Construção,Venda,Terreno Para Construção,N/D,200.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200032
Lote,Venda,Lote,N/D,125.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200030
Apartamento 3 quartos,Venda,Apartamento,Usado,119.000 €,Braga,Braga,Braga (São Vicente),260200039
Escritório,Venda,Escritório,Novo,74.000 €,Braga,Braga,Braga (São Vicente),260200035
Loja,Venda,Loja,Usado,88.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260200033
Apartamento 3 quartos,Venda,Apartamento,Usado,144.000 €,Braga,Braga,Braga (São Vítor),285200033
Apartamento 3 quartos,Venda,Apartamento,Novo,195.000 €,Braga,Braga,Gualtar,285200032
Apartamento 3 quartos,Venda,Apartamento,Usado,190.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",314200027
Armazém,Venda,Armazém,Novo,240.000 €,Braga,Braga,Braga (São Vítor),285200031
Apartamento 4 quartos,Venda,Apartamento,Usado,260.000 €,Braga,Braga,Nogueiró e Tenões,285200030
Apartamento 3 quartos,Venda,Apartamento,Novo,225.000 €,Braga,Braga,Nogueiró e Tenões,285200029
Apartamento 3 quartos,Venda,Apartamento,Novo,230.000 €,Braga,Braga,Nogueiró e Tenões,285200028
Apartamento 3 quartos,Venda,Apartamento,Novo,235.000 €,Braga,Braga,Nogueiró e Tenões,285200027
Apartamento 3 quartos,Venda,Apartamento,Novo,240.000 €,Braga,Braga,Nogueiró e Tenões,285200026
Moradia 4 quartos,Venda,Moradia,Construção,365.000 €,Braga,Braga,Nogueiró e Tenões,285200025
Moradia 4 quartos,Venda,Moradia,Construção,345.000 €,Braga,Braga,Nogueiró e Tenões,285200024
Moradia 4 quartos,Venda,Moradia,Construção,355.000 €,Braga,Braga,Nogueiró e Tenões,285200023
Apartamento 3 quartos,Venda,Apartamento,Renovado,148.000 €,Braga,Braga,Nogueiró e Tenões,285200022
Moradia Isolada 6 quartos,Venda,Moradia Isolada,Usado,1.580.000 €,Braga,Braga,Nogueiró e Tenões,285200020
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Usado,480.000 €,Braga,Braga,Nogueiró e Tenões,285200019
Moradia Isolada 3 quartos,Venda,Moradia Isolada,Usado,298.000 €,Braga,Braga,Vilaça e Fradelos,260200029
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,210.000 €,Braga,Braga,Palmeira,260200026
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,210.000 €,Braga,Braga,Palmeira,260200025
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,225.000 €,Braga,Braga,Palmeira,260200024
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,210.000 €,Braga,Braga,Palmeira,260200023
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,260.000 €,Braga,Braga,Palmeira,260200022
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,310.000 €,Braga,Braga,Palmeira,260200021
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,310.000 €,Braga,Braga,Palmeira,260200020
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,205.000 €,Braga,Braga,"Merelim (São Paio), Panoias e Parada de Tibães",260200019
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,260.000 €,Braga,Braga,Palmeira,260200017
Lote,Venda,Lote,N/D,60.000 €,Braga,Braga,Este (São Pedro e São Mamede),260200015
Moradia em Banda 8 quartos,Venda,Moradia em Banda,Usado,325.000 €,Braga,Braga,Gualtar,285200014
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Construção,142.500 €,Braga,Braga,Este (São Pedro e São Mamede),285200013
Apartamento 1 quarto,Venda,Apartamento,Usado,117.500 €,Braga,Braga,Braga (São Vítor),285200012
Terreno Para Construção,Venda,Terreno Para Construção,N/D,89.000 €,Braga,Braga,Escudeiros e Penso (Santo Estêvão e São Vicente),260200014
Apartamento 2 quartos,Venda,Apartamento,Novo,160.000 €,Braga,Braga,Gualtar,285200011
Apartamento 3 quartos,Venda,Apartamento,Usado,180.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",314200023
Apartamento 3 quartos,Venda,Apartamento,Usado,125.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260200013
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,320.000 €,Braga,Braga,Este (São Pedro e São Mamede),285200010
Lote,Venda,Lote,N/D,98.000 €,Braga,Braga,Gualtar,285200009
Moradia Isolada 4 quartos,Venda,Moradia Isolada,Usado,289.000 €,Braga,Braga,Ferreiros e Gondizalves,260200012
Lote,Venda,Lote,N/D,84.500 €,Braga,Braga,Tadim,260200010
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Usado,200.000 €,Braga,Braga,Gualtar,285200008
Apartamento 3 quartos,Venda,Apartamento,Novo,115.000 €,Braga,Braga,"Real, Dume e Semelhe",260200009
Moradia Geminada 3 quartos,Venda,Moradia Geminada,Novo,330.000 €,Braga,Braga,Braga (São Vítor),285200006
Escritório,Venda,Escritório,Usado,42.500 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),314200018
Apartamento 2 quartos,Venda,Apartamento,Usado,117.500 €,Braga,Braga,Braga (São Vítor),285200005
Moradia Geminada 4 quartos,Venda,Moradia Geminada,Usado,255.000 €,Braga,Braga,Palmeira,260200008
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,260.000 €,Braga,Braga,Palmeira,260200006
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Construção,260.000 €,Braga,Braga,Palmeira,260200005
Moradia Geminada 4 quartos,Venda,Moradia Geminada,Construção,285.000 €,Braga,Braga,Palmeira,260200004
Moradia Geminada 3 quartos,Venda,Moradia Geminada,Novo,330.000 €,Braga,Braga,Braga (São Vítor),285200004
Apartamento 2 quartos,Venda,Apartamento,Usado,140.000 €,Braga,Braga,Braga (São Vítor),285200003
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Usado,209.000 €,Braga,Braga,Palmeira,260200003
Apartamento 3 quartos,Venda,Apartamento,Renovado,132.000 €,Braga,Braga,Braga (São Vítor),285200002
Lote,Venda,Lote,N/D,52.000 €,Braga,Braga,"Real, Dume e Semelhe",260190198
Apartamento 3 quartos,Venda,Apartamento,Usado,223.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190197
Apartamento 3 quartos,Venda,Apartamento,Novo,112.000 €,Braga,Braga,Ferreiros e Gondizalves,260190196
Apartamento 3 quartos,Venda,Apartamento,Usado,Sob Consulta,Braga,Braga,Ferreiros e Gondizalves,260190195
Apartamento 3 quartos,Venda,Apartamento,Novo,290.000 €,Braga,Braga,Nogueiró e Tenões,314190263
Apartamento 3 quartos,Venda,Apartamento,Novo,275.000 €,Braga,Braga,Nogueiró e Tenões,314190262
Apartamento 3 quartos,Venda,Apartamento,Novo,310.000 €,Braga,Braga,Nogueiró e Tenões,314190261
Apartamento 3 quartos,Venda,Apartamento,Novo,310.000 €,Braga,Braga,Nogueiró e Tenões,314190260
Apartamento 3 quartos,Venda,Apartamento,Novo,265.000 €,Braga,Braga,Nogueiró e Tenões,314190259
Apartamento 3 quartos,Venda,Apartamento,Usado,150.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),314190256
Terreno Para Construção,Venda,Terreno Para Construção,N/D,96.500 €,Braga,Braga,Palmeira,260190191
Moradia 2 quartos,Venda,Moradia,Novo,110.000 €,Braga,Braga,Braga (São Vítor),285190170
Prédio 2 quartos,Venda,Prédio,Usado,200.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190187
Lote,Venda,Lote,N/D,239.000 €,Braga,Braga,Mire de Tibães,260190186
Lote,Venda,Lote,N/D,64.000 €,Braga,Braga,Mire de Tibães,260190185
Lote,Venda,Lote,N/D,60.000 €,Braga,Braga,Mire de Tibães,260190184
Lote,Venda,Lote,N/D,51.000 €,Braga,Braga,Mire de Tibães,260190183
Lote,Venda,Lote,N/D,71.000 €,Braga,Braga,Mire de Tibães,260190182
Loja,Venda,Loja,Usado,138.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",314190250
Apartamento 3 quartos,Venda,Apartamento,Novo,349.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190181
Lote,Venda,Lote,N/D,73.000 €,Braga,Braga,Lamas,260190180
Apartamento 3 quartos,Venda,Apartamento,Usado,182.500 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190169
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Usado,415.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",314190244
Apartamento 2 quartos,Venda,Apartamento,Renovado,140.000 €,Braga,Braga,Braga (São Vítor),285190168
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,415.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190167
Loja,Venda,Loja,Usado,99.000 €,Braga,Braga,Braga (São Vítor),285190166
Moradia,Venda,Moradia,Usado,190.000 €,Braga,Braga,Braga (São Vítor),285190165
Apartamento 3 quartos,Venda,Apartamento,Novo,280.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",314190241
