Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Latitude,Longitude,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
T3 Mobilado e Equipado,15463182,Apartamento,870 ,6 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",Rua Dom Frei Agostinho de Jesus - Fraião,41.539654,-8.397398,T3,2,135 m²,160 m²,2007,B,True,True,True,True,True,,True,True,True,Usado,,,True,True,,,True,,True,,,,,,,,,True,True,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrenda-se T2 Nogueira - Mobilado e Equipado,15317920,Apartamento,525 ,7 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",Rua da Cruz Vermelha,41.533981323242,-8.4166603088379,T2,1,75 m²,80 m²,1995,E,,True,,True,,,,True,True,Usado,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East River Guesthouse - Quarto Suite com Varanda,15150570,Quarto,375 ,4 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,41.543066622394,-8.4212860708023,,,,,,,,True,,,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
East River Guesthouse - Quarto Suite com Varanda,15150568,Quarto,395 ,4 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,41.543019459532,-8.4212999349439,,,,,,,,True,,,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
East River Guesthouse - Quarto Single com Varanda,15150567,Quarto,320 ,3 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,41.543035200857,-8.4212955262856,,,,,,,,True,,,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
Taxa - Quarto Duplo,15150566,Quarto,350 ,7 ,Braga (distrito),Braga,São Victor,,41.555135300369,-8.4109939290908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
Taxa - Quarto com cama de casal,15150564,Quarto,295 ,6 ,Braga (distrito),Braga,São Victor,,41.555135491002,-8.4109853895545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
Taxa Duplex - Quarto Duplo no Centro da Cidade,15150554,Quarto,320 ,3 ,Braga (distrito),Braga,São Victor,,41.555125234588,-8.410990304857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
Feliciano Ramos 3 - Quarto Duplo,15150551,Quarto,320 ,3 ,Braga (distrito),Braga,São Vicente,,41.5586433,-8.421953,,,,,,,,True,True,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,115 m²,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
Feliciano Ramos 3 - Quarto Duplo,15150549,Quarto,305 ,3 ,Braga (distrito),Braga,São Vicente,,41.5586433,-8.421953,,,,,,,,True,True,,,,,True,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,115 m²,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
