Nome,Preço,Preço m/2,Distrito,Concelho,Freguesia,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
"Lote de Terreno P/Construção de Moradia Gaveto em Real, Braga!",55 000 ,227 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia p/Restauro próximo do Bom Jesus de Braga!,229 000 ,267 ,Braga (distrito),Braga,Nogueiró e Tenões,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
Moradia Individual T4+1 próxima do Centro de Braga em Lomar!,395 000 ,781 ,Braga (distrito),Braga,Lomar e Arcos,,,506 m²,,,,,True,True,,,,True,True,True,,,,,,,,,,,,True,,,,,,True,True,,,,,,True,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 c/133 m2 NOVO na Qta. da Naia em Ferreiros, Braga!",169 900 ,1 277 ,Braga (distrito),Braga,Ferreiros e Gondizalves,,,133 m²,,,,,True,,,,,True,True,True,,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia Gaveto NOVA T3, na Quinta da Capela, Centro da Cidade de Braga",320 000 ,1 333 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,240 m²,,,,,True,,,,,True,True,True,,True,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T3+1 Junto ao Fórum Braga em S. José de S. Lázaro!,349 900 ,1 272 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,275 m²,321 m²,,,,True,,,,,True,True,True,,,,,,,True,,,,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnífico T4 em Condomínio Fechado com piscina,275 000 ,1 511 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,182 m²,"240,10 m²",,,,,,True,,,True,,,,True,,True,True,,True,True,,True,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia Banda “NOVA” em Nogueiró, Braga!",288 000 ,796 ,Braga (distrito),Braga,Nogueiró e Tenões,,,362 m²,,,,,,True,,,,True,,True,,,,,,,,,,,,,,,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
"Luxuosa Moradia Individual Térrea c/Piscina em Este S. Mamede, Braga!",499 000 ,2 585 ,Braga (distrito),Braga,Este (São Pedro e São Mamede),,,193 m²,253 m²,,,,True,,,,,True,True,,,,,,True,,,,,,,,,,,,,True,True,,,,,True,,True,,,,,True,True,,,,,,,,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
Apartamento em empreendimento com rentabilidade de 5% garantida!,116 850 ,4 972 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,"23,50 m²","23,50 m²",,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
