Nome,Nº Quartos,Nº Casas de Banho,Nº Estacionamentos,Área Útil,Área Terreno,Certificado Energia,Finalidade,Tipo de Imóvel,Estado,Preço de Venda,Distrito,Concelho,Freguesia,Coordenadas,Referência,Infraestruturas,Tipo de modalidade,Zona,Constituição,Sistema de abastecimento de água,Caixilharia das Janelas,Climatização,Domótica,Edifício,Garagem,Vistas,Exposição Solar,Segurança
Moradia Geminada 4 quartos,4,4,3,293,269,,Venda,Moradia Geminada,Construção,280.000 €,Braga,Braga,Palmeira,"41.5833333,-8.4333333",260200097,,,"Acessos: Auto-Estrada, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Centros Comerciais, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Padaria, Praias, Serviços Públicos, Supermercado; ",Nº Frentes: 3; Nº Pisos: 3; ,Companhia; ,"Aluminio, Portadas, Termolacada, Vidro Duplo; Estores: Eléctricos, Térmicos; ",Painel Solar; Aquecimento Central: Pré-Instalação; Ar Condicionado: Completo; ,"Estores Eléctricos, Gás Canalizado, Video-Porteiro; Alarme: Completo; Aspiração Central: Completo; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Revestimento Exterior: Pintado; Paredes: Pedra Natural, Pintadas; Tecto: Falso Pladur, Focos; Equipamento: Gás Canalizado, Jardins, Tomadas de Computador; ","Água, Área (m2): 68, Eletricidade, Luz, Portão Automático; Local: Cave; ",Panorâmicas; ,"Nascente, Poente, Sul; ",
Lote,,,,,567,,Venda,Lote,N/D,73.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro","41.5147438,-8.4554906",314200106,Concluídas; ,Residencial; ,Acessos: Alcatrão; Centralidade: Periferia Cidade; ,,,,,,,,,,
Moradia Isolada 4 quartos,4,4,,440,715,Cert.Energ.: B,Venda,Moradia Isolada,Novo,549.000 €,Braga,Braga,Priscos,"41.4953996081,-8.474407196",314200105,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Bombeiros, Clínica, Escolas, Farmácia, Jardins Infância, Polícia, Supermercado; ",Nº Frentes: 4; Nº Pisos: 2; ,"Companhia, Poço; ","Vidro Duplo; Estores: Eléctricos, Térmicos; ",Aquecimento Central: Completo; Ar Condicionado: Completo; ,"Churrasqueira, Escritório, Gás Canalizado; Aspiração Central: Completo; Ginásio: Máquinas fitness; ",Tipo empreendimento: Habitação; ,,,"Nascente, Poente, Sul; ",
Terreno com ruina,,,,,300,,Venda,Terreno com ruina,N/D,39.000 €,Braga,Braga,Vilaça e Fradelos,"41.5192413,-8.4855995",314200104,A Efectuar; ,Reservado p/ Urbanização; ,Acessos: Calçada; Centralidade: Periferia Cidade; ,,,,,,,,,,
Terreno Rústico,,,,,5778,,Venda,Terreno Rústico,N/D,299.000 €,Braga,Braga,Crespos e Pousada,"41.603437,-8.3556093",285200046,,,,,,,,,,,,,
Parqueamento,,,,16,,,Venda,Parqueamento,Novo,215.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200095,,,,,,,,,,,,,
Apartamento 4 quartos,4,3,2,170,,Cert.Energ.: C,Venda,Apartamento,Usado,250.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200094,,,"Acessos: Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Padaria, Serviços Públicos; ",Nº Frentes: 2; ,Companhia; ,,,,,,,"Nascente, Poente; ",
Prédio,,,,129,79,,Venda,Prédio,Usado,195.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200093,,,,,,,,,,,,,
Moradia em Banda 2 quartos,2,3,,150,,,Venda,Moradia em Banda,Renovado,270.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200088,,,,Nº Pisos: 4; ,,,,,,,,,
Loja,,,,138,,Cert.Energ.: C,Venda,Loja,Usado,69.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200086,,,,,,,,,,,,,
Apartamento 3 quartos,3,2,,150,,Cert.Energ.: C,Venda,Apartamento,Usado,200.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200084,,,"Acessos: Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Centros Comerciais, Escolas, Farmácia, Jardins, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 1; Nº Pisos: 1; ,,"Estores: Eléctricos, PVC; ",,,,"Água, Luz; ",,"Nascente, Sul; ",
Apartamento Estúdio,0,1,,32,,Cert.Energ.: B-,Venda,Apartamento,Construção,135.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200083,,,,,,,,,,,,,
Apartamento Estúdio,0,1,,27,,Cert.Energ.: B-,Venda,Apartamento,Construção,130.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200082,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",,Companhia; ,"PVC, Vidro Duplo; Estores: Eléctricos; ",Cilindro Eléctrico; Ar Condicionado: Completo; ,"Estores Eléctricos, Gás Canalizado; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Revestimento Exterior: Pintado; Pavimento: Pedra Natural; Paredes: Pedra Natural, Pintadas; Tecto: Falso Pladur, Focos; ",,,"Nascente, Poente; ",
Apartamento 3 quartos,3,2,1,120,,Cert.Energ.: C,Venda,Apartamento,Usado,145.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200081,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 1; ,Companhia; ,"PVC, Vidro Duplo; ",Aquecimento Central: Completo; ,"Gás Canalizado, TV-Cabo, Video-Porteiro; ","Tipo empreendimento: Habitação; Equipamento: Gás Canalizado, TV Cabo; ",Luz; ,Panorâmicas; ,,
