Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Latitude,Longitude,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Apartamento T2 de luxo - Real - Braga,15131495,Apartamento,175 000 ,1 591 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua David Mourão Ferreira - Real,41.56211,-8.438464,T2,2,110 m²,,2019,A,,,,True,True,,True,True,True,Em construção,True,,True,,,True,True,,True,,,,,,,,,,,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1 de luxo - Real - Braga,15131470,Apartamento,110 000 ,1 833 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua David Mourão Ferreira - Real,41.56211,-8.438464,T1,1,60 m²,,2019,A,,,,True,True,,True,True,True,Em construção,,,True,,,True,True,,True,,,,,,,,,,,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 de luxo - Real - Braga,15130571,Apartamento,175 000 ,1 458 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,41.56474,-8.422667,T3,3,120 m²,162 m²,2019,A,,,,True,True,,True,True,True,Em construção,True,,True,,,True,True,,True,,,,True,,,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 de luxo - Real - Braga,15130452,Apartamento,162 500 ,1 548 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua David Mourão Ferreira - Real,41.56211,-8.438464,T2,2,105 m²,134 m²,2019,A,,,,True,True,,True,True,True,Em construção,,True,True,,,True,True,,,,,,True,,,,,,,True,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lote de Terreno P/construção de Moradia em Nogueiró, Braga!",15385127,Terreno,69 900 ,274 ,Braga (distrito),Braga,Nogueiró e Tenões,Avenida dos Lusíadas - Tenões,41.54849076558821,-8.39047787956237,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitação,Urbano,True,True,True,,Suave (entre 10º e 20º),,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
"Apartamento T3 NOVO na Qta. da Naia em Ferreiros, Braga!",14791880,Apartamento,162 900 ,1 358 ,Braga (distrito),Braga,Ferreiros e Gondizalves,Sem Nome,41.538536339542304,-8.439662947429653,T3,2,120 m²,,,B,,True,,,,,True,True,True,Novo,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2 c/NOVO em S. Vitor, Braga!",15334423,Apartamento,159 900 ,1 538 ,Braga (distrito),Braga,São Victor,Rua Luís Soares Barbosa - São Victor,41.56158705262673,-8.406592951065061,T2,2,104 m²,119 m²,2012,C,,True,,,,,,True,True,Usado,,,,,não,,True,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 Cobertura Junto ao Centro de Braga em Real!,15303560,Apartamento,224 900 ,1 136 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua de São Jerónimo - Real,41.558834610521444,-8.436446978820806,T4,3,198 m²,293 m²,2004,C,,True,True,,,,True,True,True,Usado,,,,,não,,True,,,,True,,,,,,,,True,,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lote de Terreno P/Construção de Moradia Geminada em Semelhe, Braga!",15261885,Terreno,49 900 ,108 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua da Bouça Boa,41.54370842590008,-8.475376717010493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitação,Urbano,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 c/133 m2 NOVO na Qta. da Naia em Ferreiros, Braga!",15189090,Apartamento,174 900 ,1 315 ,Braga (distrito),Braga,Ferreiros e Gondizalves,Rua Mira A Naia,41.53851503035605,-8.43945080045913,T3,2,133 m²,,,B,,True,,,,,True,True,True,Novo,,,,,sim,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
