Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Moradia T4 no Centro Histórico de Braga,15367676,,399 900 ,3 333 ,Braga (distrito),Braga,São Vicente,Praça Mouzinho de Albuquerque - São José de São Lázaro,T4,3,120 m²,180 m²,1937,E,True,True,,,,,True,True,True,Usado,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2 Renovado, Centro de Braga",15362263,,139 000 ,1 986 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Praça do Condestável,T2,1,70 m²,70 m²,,,,,,,,,,,,,,,,,não,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2, Nogueiró, Braga",15353047,,127 500 ,1 262 ,Braga (distrito),Braga,Nogueiró e Tenões,Rua José Maria Ottony,T2,2,101 m²,123 m²,1995,,,,,,True,,,,,,,,,,não,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2, como novo, com garagem",15329131,,127 500 ,1 342 ,Braga (distrito),Braga,Lomar e Arcos,Rua José Estevão - Lomar,T2,1,95 m²,110 m²,1992,,,True,True,,,,,,,,,,,,não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T4 em Fraião, Braga",15318844,,329 000 ,1 134 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",Rua das Bretas - Fraião,T4,4 ou mais,290 m²,158 m²,2016,,,True,True,,,,,,,,,,,,não,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA DE CONSTRUÇÃO EM  1186M2 DE LOGRADOURO.,15168434,,147 000 ,401 ,Braga (distrito),Braga,Morreira e Trandeiras,Calçada de Vilar,T3,1,367 m²,1 186 m²,,F,,,True,,,True,,True,,Usado,True,,,,não,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 em Braga, S.Vicente",15187425,,160 000 ,1 391 ,Braga (distrito),Braga,São Vicente,Rua Custódio Vilas Boas - São Vicente,T3,2,115 m²,115 m²,1996,,,,True,,True,,,,,,,,,,não,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prédio T4 unifamiliar, para recuperar em Real Semelhe e Dume, Braga",15382302,,199 900 ,727 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,,275 m²,412 m²,,E,,,,,,,,,,Usado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T2+2 Nova em pleno Centro Histórico de Braga,15370955,,499 500 ,2 144 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Rua da Boavista - Sé,T4,3,233 m²,233 m²,2019,B-,,True,True,True,,,True,True,True,Novo,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 Centro,15031654,,340 000 ,1 567 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,T4,2,217 m²,,,,,,True,,,,,,,Usado,,,,,não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
